zzn9k,r4rk1/pR4np/2p1p1b1/2PpP3/3P1p2/2N3R1/P2qBQPP/6K1 w - - 0 26,g3h3 f4f3 h3f3 f8f3 e2f3 d2c3,1982,77,86,156,capturingDefender crushing long middlegame,https://lichess.org/R7DbvQFX#51,
zznEn,4k3/1p5p/pR4p1/2p2b2/2Pb1P2/1P6/P2K3P/8 b - - 1 30,f5e4 b6e6 e8f7 e6e4,863,89,80,94,crushing endgame fork short,https://lichess.org/u7LilUpP/black#60,
zznMe,3r1bk1/pb1r1pp1/4q2p/1P6/4p3/1Q2P1P1/PB3PBP/3RR1K1 w - - 0 25,b3e6 d7d1 e6c4 d1e1,1205,307,100,8,crushing kingsideAttack middlegame short,https://lichess.org/0675iBjc#49,
zznOd,5r1k/5pp1/3q2np/2pp1Q2/8/rPP3RN/6PP/5RK1 b - - 0 29,a3b3 g3g6 f7g6 f5f8 d6f8 f1f8,1133,76,80,419,advantage long middlegame,https://lichess.org/D1S2uvpk/black#58,
zznQr,1kr5/1p4p1/7p/1q1Rp3/1P2Q3/6PK/2r2P1P/8 b - - 1 36,c8c4 e4e5 b8a7 d5b5,1406,76,97,15099,crushing endgame short,https://lichess.org/F2voDpnN/black#72,
zznTy,3r4/2pknr2/1p1q3p/1P1P2p1/2P3P1/4R3/5PP1/Q3R1K1 b - - 0 36,d6f4 e3f3 f4f3 g2f3,1874,76,95,9135,crushing middlegame short,https://lichess.org/khduuhPf/black#72,
zzndH,r1b2rk1/4bppp/p1p2N2/5pP1/7P/q2P4/P2BQ3/1R2K1R1 b - - 1 20,e7f6 g5f6 g7g6 d2b4,2058,129,38,12,advantage master middlegame pin short,https://lichess.org/YjoSuNdb/black#40,
zzo1o,7k/6pp/3q1p2/3pp3/8/8/5PPP/R5K1 b - - 0 33,d5d4 a1a8 d6b8 a8b8,600,100,71,185,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/QH8qzrXO/black#66,
zzoNQ,4r1kr/2q3p1/p6p/1pbNR3/2p1Q3/P2P4/1PP3PP/4R1K1 w - - 3 23,d3d4 c7e5 e4e5 e8e5 e1e5 c5d4,2166,106,86,21,capturingDefender crushing long middlegame pin,https://lichess.org/eytCT2sP#45,
zzoRG,6R1/8/8/P1p2r2/2P5/1P3k1p/7K/8 w - - 3 54,h2h3 f5h5,635,103,74,370,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/gxoIQv4J#107,
zzoX2,8/3kp3/5pQ1/1p2p3/4P3/5PKP/3q2P1/8 b - - 0 52,d2g5 g6g5 f6g5 g3f2,2087,171,78,6,crushing defensiveMove endgame queenEndgame short,https://lichess.org/EePHQ0sk/black#104,
zzoaj,r1b3rk/2q2p1p/1p2pPpQ/3p4/1P1B1R2/8/P5PP/R5K1 b - - 5 22,c7c2 h6h7 h8h7 f4h4,1539,76,95,6853,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/9XUBZesq/black#44,
zzobC,3r4/1p3k2/pPp1p3/P1P2pRP/3P1Pb1/4p3/7K/4B3 b - - 0 44,d8d4 h5h6 d4d2 h2g3,2106,76,94,3689,crushing defensiveMove endgame master short,https://lichess.org/45oVpvEr/black#88,
zzodd,r7/4Bk2/2p5/Pp2Rp2/4bP2/P5PK/8/8 w - - 5 47,e7b4 a8h8,1256,131,100,58,endgame mate mateIn1 oneMove,https://lichess.org/RHUqwuVj#93,
zzofI,1k1r4/3qb2r/3pNp2/4n3/4P1p1/2N1Q3/1PP2BP1/1K3R2 b - - 0 33,d7e6 e3a7 b8c8 c3d5 e6d5 e4d5,2392,74,93,536,crushing long master middlegame queensideAttack,https://lichess.org/RDzwXgsO/black#66,
zzopd,5rk1/5p2/1R2b2p/p1Q1N1p1/q7/6P1/4PPBP/2Rr2K1 w - - 1 28,c1d1 a4d1 g2f1 e6h3 b6g6 f7g6,1283,76,92,2044,crushing long middlegame pin,https://lichess.org/ZLZXjYxE#55,
zzosz,4r1k1/5ppp/2p5/p2p1PP1/3P1Q1P/2P4K/q3rR2/5R2 b - - 1 31,e8e4 f4b8 e4e8 b8e8 e2e8 f2a2,1091,78,64,53,crushing endgame long,https://lichess.org/Tvaa3OZQ/black#62,
zzowv,7r/p1k2p2/1nBN2p1/1Qn1q3/6Pp/1P4rP/P6K/2R2R2 w - - 0 30,c1c5 g3h3 h2g1 e5h2,2343,86,84,280,doubleCheck mate mateIn2 middlegame short,https://lichess.org/b7osQogx#59,
zzoyT,8/r7/3pkpp1/2p1b2R/BpP1P3/1P1P3P/5KP1/8 w - - 0 55,h5h6 a7a4 b3a4 b4b3 h6h7 e5c3,2193,76,92,426,crushing defensiveMove endgame long sacrifice,https://lichess.org/Gcs6RdFM#109,
zzp0e,4r1k1/pp4qp/3p2p1/2p5/2P5/PP6/3QrPPP/R4RK1 w - - 0 24,d2d6 g7a1 d6d5 g8h8,1888,75,74,783,crushing defensiveMove endgame master short,https://lichess.org/yDCIlMJq#47,
zzp43,5rk1/5pp1/p7/1p6/1Pn1Q1Nq/2P4P/P2r1P2/R3R1K1 w - - 1 28,g1g2 f7f5 g4h6 h4h6,1928,73,94,8129,advantage fork middlegame short,https://lichess.org/wE2zZOkO#55,
zzp5M,r3k2r/p2q1R1p/1pnp2p1/3Qb3/4P3/2N5/PPP3PP/R1B3K1 b kq - 0 16,d7f7 d5c6 f7d7 c6a8 e8f7 a8d5,1710,127,77,17,crushing exposedKing fork hangingPiece long middlegame,https://lichess.org/c78xEPK9/black#32,Bird_Opening,Bird_Opening_Other_variations
zzp9a,5Qnk/p5rp/4p3/3pPp2/3P4/P4R1R/1BP1q3/7K w - - 4 35,f3g3 e2f1 h1h2 f1f2,1815,75,88,344,crushing middlegame short,https://lichess.org/sA2vuViG#69,
zzpAq,4k2r/Rb1q4/3B1p2/1PQ3pp/8/4P2P/1P3PP1/5R1K w k - 3 27,f1a1 d7h3 h1g1 h3g2,1515,74,94,726,mate mateIn2 middlegame pin short,https://lichess.org/gFfcToYe#53,
zzpFH,r3nrk1/3n1ppp/2pp1q2/p3pN2/Pp2P3/1B1P2QP/1PP2PP1/R4RK1 b - - 3 16,f6g6 f5e7 g8h8 e7g6,851,77,98,984,crushing fork middlegame short,https://lichess.org/l8euVfJM/black#32,Russian_Game,Russian_Game_Italian_Variation
zzpIF,8/4r1kp/3p2p1/P1p5/2Q5/3P1P2/3q2PP/1R4K1 w - - 3 47,a5a6 e7e1 b1e1 d2e1,970,161,-14,13,endgame mate mateIn2 short,https://lichess.org/2ChzuE9L#93,
zzpMK,2kr2nr/pp1nq1p1/2p1p1p1/5pN1/1bBP1BP1/5Q1P/PPP5/R4RK1 b - - 1 15,g8f6 f3c6 b7c6 c4a6,1686,87,90,232918,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/SIbQC0W0/black#30,Caro-Kann_Defense,Caro-Kann_Defense_Rasa-Studier_Gambit
zzpMn,6r1/pp1k2B1/2n1p1N1/3pPp2/Qb1P2P1/2N4P/PP4RK/q7 w - - 1 26,g2g1 a1b2 g1g2 b2c3 g4f5 g8g7,1446,74,95,15417,advantage fork long middlegame,https://lichess.org/qGKKfucF#51,
zzpRI,r4rk1/p4p2/1n4pp/2b1N3/6R1/4P3/1B2KPPP/R7 b - - 1 23,c5d6 e5g6 f7g6 g4g6,1634,74,91,682,crushing middlegame short,https://lichess.org/a8sCNKnI/black#46,
zzpRQ,rn1q1bkr/p5pp/1pp2B2/3pNb2/3P4/1QN5/PPP2PPP/R4RK1 b - - 0 12,d8f6 c3d5 c6d5 b3d5,1585,75,83,109,advantage middlegame short,https://lichess.org/9jW7UPbD/black#24,Russian_Game,Russian_Game_Italian_Variation
zzpih,3rr1k1/p1qn1p2/1pp3pp/2b5/2P1PpB1/1PB5/PQ4PP/3R1R1K b - - 2 21,d7e5 d1d8 c7d8 c3e5 d8g5 e5h8 f7f6 b2f6 g5f6 h8f6,2062,76,90,1292,crushing middlegame quietMove veryLong,https://lichess.org/eH0cNfz2/black#42,
zzpvr,rk3r2/8/1pQ5/q3pp2/3p4/P7/5PP1/1R3K2 b - - 0 36,a8a6 c6d6 b8b7 d6e7,2209,95,79,51,advantage endgame fork short,https://lichess.org/xn0IwjSR/black#72,
zzpwy,5rk1/2p2r2/p1npp2p/1p2p1pq/4P3/PP1P2P1/1BPQR1KN/R7 w - - 1 24,a1f1 f7f1 h2f1 h5f3 g2h2 f3f1,1769,254,100,6,crushing deflection long middlegame,https://lichess.org/rPOrTsxf#47,
zzq0d,5r2/p1p5/4q2k/4P1bP/2PpQ1p1/3B1p2/PP6/1K5R b - - 3 37,f8f7 e4g6 e6g6 h5g6,1186,76,96,1066,crushing discoveredAttack endgame short,https://lichess.org/MunuzI9W/black#74,
zzq18,4rrk1/p3Rpp1/2b2n2/1p3PP1/3p4/1B3P2/PPPK4/4R3 b - - 0 25,f6d5 e7e8 f8e8 e1e8 c6e8 b3d5,2006,76,83,190,crushing kingsideAttack long middlegame,https://lichess.org/j595bEZX/black#50,
zzq22,8/R4pk1/1p1n3p/1P6/P5P1/5pKP/4bP2/8 w - - 2 35,a7a6 d6e4 g3h4 e4f2,1327,75,86,119,crushing deflection endgame short,https://lichess.org/7347BCLe#69,
zzq4S,4rrk1/1p1q1pp1/p6p/2bp4/2N2Q2/1P2P1P1/P5PP/3RR1K1 b - - 3 22,e8e4 f4e4 d5e4 d1d7,1500,500,100,1,crushing middlegame short,https://lichess.org/3nWjak2h/black#44,
zzq7F,2r1kb1r/p1q2pp1/1pn1p2p/3pPn2/Q6B/5B2/P1RN1PPP/2R3K1 b k - 3 22,f5d4 a4d4 c6d4 c2c7 c8c7 c1c7,1819,74,88,520,advantage long middlegame,https://lichess.org/ynYrV0dM/black#44,
zzq9M,4k1r1/p2b1p2/Brp1p2p/6q1/P1PB4/6P1/2P2P1P/1R1Q2K1 b - - 4 22,b6a6 b1b8 e8e7 f2f4 g5f5 b8g8,2595,103,89,79,crushing long middlegame,https://lichess.org/bQzlhy7F/black#44,
